PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW6053, REGMPINDA , 35.562200 ,-15.533200 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6054, REGMWENEWENYA , 33.557677 ,-10.151052 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6055, REGNAMANJA , 35.678163 ,-14.966097 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6056, REGNAMBAZU , 35.805684 ,-15.555169 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6057, REGRUARWE , 34.235440 ,-11.114250 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6058, REGSITOLO , 35.463800 ,-16.024900 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6059, REGTHABONI , 35.194400 ,-16.365940 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6060, UMBWA , 35.539360 ,-14.779320 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6061, LUWEREZI , 33.645528 ,-12.484165 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6062, NALIKATA , 35.439615 ,-15.865700 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6063, MIKONGONI , 35.619307 ,-15.594229 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6064, KATAPIRA , 35.093699 ,-14.965250 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6066, KANJUCHI , 33.764688 ,-12.635528 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6067, GOVALA , 35.434210 ,-15.393940 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6068, MALAMBO , 33.760182 ,-13.215670 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6069, MAKHANGA , 35.165190 ,-16.504740 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6070, CHAKHANZA , 33.645571 ,-13.445073 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6071, NDELEMA , 34.873242 ,-16.052966 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW6072, FOLOPENSI , 34.965621 ,-16.052966 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6073, CHITOWOHC , 34.041820 ,-14.254310 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6074, KONZERE , 34.953395 ,-16.510346 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW6075, CHISOSO , 33.679631 ,-13.368192 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6076, NJUNIHILL , 33.293014 ,-9.589892 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6085, BALAKAMACRA , 34.937398 ,-14.983131 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Residential
MW6086, BALAKAMAJIGA , 34.969193 ,-14.985907 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6163, STPATRICKS , 35.102130 ,-15.808080 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW6096, CHATHA , 35.006700 ,-15.714100 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6121, HILLTOP , 34.010340 ,-11.476030 , 2G+3G+4G ,Access,TNM, YES ,No,No,Urban
MW6189, KADZIMETE , 34.469930 ,-15.790600 , 2G+3G+4G ,Access,TNM, YES ,No,No,rural
MW6186, KANJEDZA2 , 35.047332 ,-15.813428 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6129, KOBBE , 35.309700 ,-15.397530 , 2G+3G+4G ,Access,TNM, YES ,No,No,Urban
MW6192, LENGWE , 34.782620 ,-16.207470 , 2G+3G+4G ,Access,TNM, YES ,No,No,rural
MW6193, LINYANGWA , 33.301687 ,-13.136614 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6134, LIWONDEPROPER , 35.212132 ,-15.055713 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6135, LIWONDERES , 35.244240 ,-15.076100 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6152, MASELEMA , 35.051700 ,-15.802110 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6122, MATETE , 34.079787 ,-11.962506 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6148, MGONA , 33.770299 ,-13.904395 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6149, MPINGWERES , 35.072317 ,-15.803702 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6082, NEWSHIRE2 , 33.734290 ,-13.922930 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6194, NANKHWALI , 34.845860 ,-14.134650 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW6156, NEWLANDSEXT , 35.077346 ,-15.841156 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
MW6191, PIH , 34.779030 ,-15.436020 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6161, SALIMAHOSPITAL , 34.424437 ,-13.763219 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6187, SELASSIEAVN , 35.010386 ,-15.787284 , 2G+3G+4G ,Access,Fatima Arcade, YES ,No,Yes,Dense Urban
MW6190, SIMBIFARM , 32.987020 ,-13.942800 , 2G+3G+4G ,Access,Simbi Farms, YES ,No,No,Rural
MW6195, ZALEWARDBLOCK , 34.857360 ,-15.444500 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW0078, MALEMBOLL , 33.412346 ,-13.618786 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW0079, MSAKAMBEWA , 33.896179 ,-13.552700 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0056, MCHETERA , 33.284771 ,-13.874337 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0189, KAPILI , 34.653589 ,-14.309888 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0165, CHIMATRADINGCENTRE , 33.769363 ,-13.099895 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0081, MAKHOSOKAZI , 33.394744 ,-12.195760 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW1463, KAPOPO , 33.421166 ,-12.284121 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0444, SUZATC , 33.481255 ,-12.941698 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW1462, KAMELA , 33.299766 ,-13.618403 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0172, MPAMANTHA , 34.253708 ,-13.067679 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0179, NTOMBOSOLA , 34.694297 ,-16.121122 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW0096, NDAKWERA , 34.689570 ,-16.222616 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW0010, ABRAHAM , 34.548500 ,-14.345600 , 2G+3G+4G ,Access,MTL, YES ,No,Yes,Rural
MW0479, CHAPOLA , 35.478126 ,-15.347677 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0044, CHIMEMBE , 34.890149 ,-15.777140 , 2G+3G+4G ,Access,MDBNL, YES ,No,No,Rural
MW6197, REGPADZUWA , 34.841860 ,-15.879260 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW0073, CHANKHOZI , 33.393470 ,-13.095420 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0051, MALUWA , 33.873890 ,-14.264502 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0048, LINTHIPE3 , 34.218437 ,-14.337161 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW1464, MUNYANJA , 33.499200 ,-11.232679 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0177, CHISINGA , 33.327976 ,-12.625161 , 2G+3G+4G ,Access,TNM, YES ,No,No,Rural
MW0070, MPHEPO , 33.555267 ,-13.180629 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0075, DZIWE , 35.138126 ,-15.102474 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0011, KALELENGA , 33.681560 ,-13.621290 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0482, MALANDIHILL , 33.673600 ,-13.765530 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0020, MAKUNGANYA , 35.428738 ,-14.247629 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0174, LUNGWENA , 35.250985 ,-14.244881 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0047, KANJATI , 34.654385 ,-14.866668 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0040, KAKOMAESTATE , 33.532330 ,-14.069438 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW0141, WALEMERA , 34.161175 ,-12.666754 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6196, REGNJERENJE , 35.064120 ,-15.251100 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6198, REGTHUKUTA , 35.260655 ,-16.396735 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6199, REGNAMANJAMJ , 35.643440 ,-15.987070 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6206, REGBAMBA , 35.677808 ,-14.849930 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6201, REGCHIMWANJALE , 34.393290 ,-15.875850 , 2G+3G+4G ,Access,Airtel, YES ,No,No,rural
MW6202, REGCHITAWO , 35.280811 ,-15.751095 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6204, REGCHIUNDA , 35.213973 ,-15.326568 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6205, REGMKWEPERE , 35.601794 ,-14.622860 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW4006, AREA25BLOWER , 33.742267 ,-13.892454 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Dense Urban
MW4007, AREA49ZEBRA , 33.748068 ,-13.914353 , 2G+3G+4G ,Access,TNM, YES ,No,No,Dense Urban
